backend_name;date;results
ibmqx4;2018-07-05T22:04:37.450Z;{'00000': 177, '00001': 5, '00010': 329, '00011': 9, '00100': 261, '00101': 3, '00110': 234, '00111': 6}
ibmqx4;2018-07-05T22:04:37.528Z;{'00000': 443, '00001': 6, '00010': 496, '00011': 14, '00100': 38, '00110': 26, '00111': 1}
ibmqx4;2018-07-05T22:04:37.626Z;{'00000': 173, '00001': 7, '00010': 293, '00011': 17, '00100': 283, '00101': 10, '00110': 226, '00111': 15}
ibmqx4;2018-07-05T22:04:37.686Z;{'00000': 484, '00001': 21, '00010': 438, '00011': 16, '00100': 30, '00110': 33, '00111': 2}
ibmqx4;2018-07-05T22:04:37.786Z;{'00000': 165, '00001': 27, '00010': 300, '00011': 49, '00100': 217, '00101': 25, '00110': 208, '00111': 33}
ibmqx4;2018-07-05T22:04:37.873Z;{'00000': 432, '00001': 57, '00010': 407, '00011': 61, '00100': 32, '00101': 6, '00110': 26, '00111': 3}
ibmqx4;2018-07-05T22:04:38.000Z;{'00000': 133, '00001': 50, '00010': 260, '00011': 89, '00100': 193, '00101': 54, '00110': 189, '00111': 56}
ibmqx4;2018-07-05T22:04:38.083Z;{'00000': 351, '00001': 133, '00010': 330, '00011': 136, '00100': 27, '00101': 9, '00110': 27, '00111': 11}
ibmqx4;2018-07-05T22:04:38.170Z;{'00000': 105, '00001': 69, '00010': 195, '00011': 139, '00100': 169, '00101': 81, '00110': 168, '00111': 98}
ibmqx4;2018-07-05T22:04:38.230Z;{'00000': 330, '00001': 178, '00010': 278, '00011': 171, '00100': 28, '00101': 10, '00110': 20, '00111': 9}
ibmqx4;2018-07-05T22:04:38.339Z;{'00000': 82, '00001': 84, '00010': 159, '00011': 174, '00100': 125, '00101': 111, '00110': 128, '00111': 161}
ibmqx4;2018-07-05T22:04:38.414Z;{'00000': 239, '00001': 263, '00010': 212, '00011': 251, '00100': 18, '00101': 16, '00110': 12, '00111': 13}
ibmqx4;2018-07-05T22:04:38.511Z;{'00000': 66, '00001': 117, '00010': 102, '00011': 247, '00100': 108, '00101': 150, '00110': 83, '00111': 151}
ibmqx4;2018-07-05T22:04:38.635Z;{'00000': 180, '00001': 314, '00010': 143, '00011': 310, '00100': 14, '00101': 33, '00110': 13, '00111': 17}
ibmqx4;2018-07-05T22:04:38.706Z;{'00000': 45, '00001': 159, '00010': 79, '00011': 262, '00100': 62, '00101': 160, '00110': 59, '00111': 198}
ibmqx4;2018-07-05T22:04:38.798Z;{'00000': 117, '00001': 389, '00010': 119, '00011': 345, '00100': 6, '00101': 22, '00110': 8, '00111': 18}
ibmqx4;2018-07-05T22:04:38.951Z;{'00000': 36, '00001': 176, '00010': 49, '00011': 313, '00100': 51, '00101': 183, '00110': 21, '00111': 195}
ibmqx4;2018-07-05T22:04:38.968Z;{'00000': 68, '00001': 439, '00010': 82, '00011': 387, '00100': 2, '00101': 25, '00110': 3, '00111': 18}
ibmqx4;2018-07-05T22:04:39.085Z;{'00000': 21, '00001': 160, '00010': 45, '00011': 324, '00100': 39, '00101': 189, '00110': 39, '00111': 207}
ibmqx4;2018-07-05T22:04:39.148Z;{'00000': 78, '00001': 446, '00010': 62, '00011': 373, '00100': 4, '00101': 33, '00110': 6, '00111': 22}
ibmqx4;2018-07-05T22:03:51.731Z;{'00000': 241, '00001': 7, '00010': 294, '00011': 10, '00100': 238, '00101': 4, '00110': 225, '00111': 5}
ibmqx4;2018-07-05T22:03:51.812Z;{'00000': 455, '00001': 9, '00010': 476, '00011': 14, '00100': 28, '00101': 1, '00110': 41}
ibmqx4;2018-07-05T22:03:51.931Z;{'00000': 252, '00001': 11, '00010': 301, '00011': 17, '00100': 224, '00101': 6, '00110': 194, '00111': 19}
ibmqx4;2018-07-05T22:03:52.020Z;{'00000': 446, '00001': 18, '00010': 468, '00011': 28, '00100': 28, '00101': 3, '00110': 32, '00111': 1}
ibmqx4;2018-07-05T22:03:52.100Z;{'00000': 228, '00001': 36, '00010': 234, '00011': 36, '00100': 216, '00101': 22, '00110': 220, '00111': 32}
ibmqx4;2018-07-05T22:03:52.182Z;{'00000': 421, '00001': 67, '00010': 415, '00011': 61, '00100': 33, '00101': 3, '00110': 23, '00111': 1}
ibmqx4;2018-07-05T22:03:52.289Z;{'00000': 212, '00001': 61, '00010': 232, '00011': 52, '00100': 202, '00101': 46, '00110': 165, '00111': 54}
ibmqx4;2018-07-05T22:03:52.365Z;{'00000': 357, '00001': 95, '00010': 380, '00011': 124, '00100': 29, '00101': 5, '00110': 26, '00111': 8}
ibmqx4;2018-07-05T22:03:52.479Z;{'00000': 148, '00001': 102, '00010': 194, '00011': 97, '00100': 156, '00101': 90, '00110': 134, '00111': 103}
ibmqx4;2018-07-05T22:03:52.568Z;{'00000': 292, '00001': 192, '00010': 282, '00011': 198, '00100': 17, '00101': 13, '00110': 19, '00111': 11}
ibmqx4;2018-07-05T22:03:52.653Z;{'00000': 146, '00001': 119, '00010': 133, '00011': 154, '00100': 120, '00101': 99, '00110': 96, '00111': 157}
ibmqx4;2018-07-05T22:03:52.735Z;{'00000': 216, '00001': 248, '00010': 241, '00011': 255, '00100': 19, '00101': 18, '00110': 15, '00111': 12}
ibmqx4;2018-07-05T22:03:52.816Z;{'00000': 115, '00001': 174, '00010': 89, '00011': 187, '00100': 67, '00101': 143, '00110': 60, '00111': 189}
ibmqx4;2018-07-05T22:03:52.923Z;{'00000': 165, '00001': 327, '00010': 166, '00011': 302, '00100': 9, '00101': 23, '00110': 9, '00111': 23}
ibmqx4;2018-07-05T22:03:53.001Z;{'00000': 71, '00001': 187, '00010': 46, '00011': 206, '00100': 53, '00101': 177, '00110': 54, '00111': 230}
ibmqx4;2018-07-05T22:03:53.109Z;{'00000': 124, '00001': 367, '00010': 98, '00011': 362, '00100': 8, '00101': 33, '00110': 6, '00111': 26}
ibmqx4;2018-07-05T22:03:53.200Z;{'00000': 43, '00001': 224, '00010': 43, '00011': 234, '00100': 42, '00101': 179, '00110': 35, '00111': 224}
ibmqx4;2018-07-05T22:03:53.291Z;{'00000': 87, '00001': 419, '00010': 59, '00011': 396, '00100': 7, '00101': 27, '00110': 5, '00111': 24}
ibmqx4;2018-07-05T22:03:53.365Z;{'00000': 34, '00001': 233, '00010': 44, '00011': 244, '00100': 28, '00101': 184, '00110': 25, '00111': 232}
ibmqx4;2018-07-05T22:03:53.448Z;{'00000': 67, '00001': 410, '00010': 60, '00011': 417, '00100': 3, '00101': 37, '00110': 4, '00111': 26}
ibmqx4;2018-07-05T22:03:04.932Z;{'00000': 202, '00001': 8, '00010': 321, '00011': 4, '00100': 273, '00101': 5, '00110': 204, '00111': 7}
ibmqx4;2018-07-05T22:03:05.050Z;{'00000': 463, '00001': 10, '00010': 469, '00011': 13, '00100': 33, '00101': 1, '00110': 33, '00111': 2}
ibmqx4;2018-07-05T22:03:05.099Z;{'00000': 192, '00001': 22, '00010': 285, '00011': 10, '00100': 287, '00101': 4, '00110': 215, '00111': 9}
ibmqx4;2018-07-05T22:03:05.201Z;{'00000': 497, '00001': 18, '00010': 432, '00011': 22, '00100': 24, '00101': 2, '00110': 28, '00111': 1}
ibmqx4;2018-07-05T22:03:05.285Z;{'00000': 194, '00001': 26, '00010': 260, '00011': 35, '00100': 267, '00101': 17, '00110': 194, '00111': 31}
ibmqx4;2018-07-05T22:03:05.378Z;{'00000': 438, '00001': 56, '00010': 421, '00011': 51, '00100': 22, '00101': 3, '00110': 31, '00111': 2}
ibmqx4;2018-07-05T22:03:05.465Z;{'00000': 145, '00001': 85, '00010': 257, '00011': 49, '00100': 216, '00101': 42, '00110': 171, '00111': 59}
ibmqx4;2018-07-05T22:03:05.565Z;{'00000': 387, '00001': 106, '00010': 355, '00011': 123, '00100': 22, '00101': 7, '00110': 15, '00111': 9}
ibmqx4;2018-07-05T22:03:05.695Z;{'00000': 122, '00001': 117, '00010': 205, '00011': 81, '00100': 188, '00101': 54, '00110': 149, '00111': 108}
ibmqx4;2018-07-05T22:03:05.731Z;{'00000': 335, '00001': 174, '00010': 280, '00011': 189, '00100': 10, '00101': 5, '00110': 20, '00111': 11}
ibmqx4;2018-07-05T22:03:05.847Z;{'00000': 86, '00001': 175, '00010': 168, '00011': 110, '00100': 152, '00101': 92, '00110': 92, '00111': 149}
ibmqx4;2018-07-05T22:03:05.918Z;{'00000': 267, '00001': 276, '00010': 196, '00011': 247, '00100': 14, '00101': 8, '00110': 9, '00111': 7}
ibmqx4;2018-07-05T22:03:06.329Z;{'00000': 72, '00001': 228, '00010': 102, '00011': 143, '00100': 105, '00101': 124, '00110': 82, '00111': 168}
ibmqx4;2018-07-05T22:03:06.414Z;{'00000': 162, '00001': 323, '00010': 166, '00011': 298, '00100': 12, '00101': 25, '00110': 18, '00111': 20}
ibmqx4;2018-07-05T22:03:06.481Z;{'00000': 37, '00001': 257, '00010': 74, '00011': 200, '00100': 54, '00101': 155, '00110': 40, '00111': 207}
ibmqx4;2018-07-05T22:03:06.648Z;{'00000': 118, '00001': 370, '00010': 98, '00011': 376, '00100': 8, '00101': 25, '00110': 7, '00111': 22}
ibmqx4;2018-07-05T22:03:06.681Z;{'00000': 23, '00001': 302, '00010': 47, '00011': 226, '00100': 51, '00101': 129, '00110': 40, '00111': 206}
ibmqx4;2018-07-05T22:03:06.765Z;{'00000': 79, '00001': 421, '00010': 75, '00011': 394, '00100': 8, '00101': 21, '00110': 1, '00111': 25}
ibmqx4;2018-07-05T22:03:06.851Z;{'00000': 31, '00001': 311, '00010': 44, '00011': 222, '00100': 31, '00101': 145, '00110': 28, '00111': 212}
ibmqx4;2018-07-05T22:03:07.282Z;{'00000': 63, '00001': 448, '00010': 54, '00011': 399, '00100': 2, '00101': 24, '00110': 2, '00111': 32}
ibmqx4;2018-07-05T22:02:19.045Z;{'00000': 169, '00001': 3, '00010': 316, '00011': 8, '00100': 229, '00101': 6, '00110': 289, '00111': 4}
ibmqx4;2018-07-05T22:02:19.158Z;{'00000': 491, '00001': 5, '00010': 476, '00011': 18, '00100': 20, '00110': 14}
ibmqx4;2018-07-05T22:02:19.221Z;{'00000': 190, '00001': 12, '00010': 298, '00011': 12, '00100': 210, '00101': 12, '00110': 279, '00111': 11}
ibmqx4;2018-07-05T22:02:19.346Z;{'00000': 492, '00001': 18, '00010': 431, '00011': 28, '00100': 28, '00101': 2, '00110': 23, '00111': 2}
ibmqx4;2018-07-05T22:02:19.420Z;{'00000': 182, '00001': 33, '00010': 246, '00011': 40, '00100': 186, '00101': 40, '00110': 265, '00111': 32}
ibmqx4;2018-07-05T22:02:19.505Z;{'00000': 460, '00001': 54, '00010': 379, '00011': 74, '00100': 27, '00101': 4, '00110': 22, '00111': 4}
ibmqx4;2018-07-05T22:02:19.582Z;{'00000': 154, '00001': 60, '00010': 227, '00011': 78, '00100': 171, '00101': 64, '00110': 234, '00111': 36}
ibmqx4;2018-07-05T22:02:19.685Z;{'00000': 381, '00001': 101, '00010': 358, '00011': 133, '00100': 25, '00101': 4, '00110': 18, '00111': 4}
ibmqx4;2018-07-05T22:02:19.796Z;{'00000': 127, '00001': 77, '00010': 167, '00011': 111, '00100': 154, '00101': 100, '00110': 208, '00111': 80}
ibmqx4;2018-07-05T22:02:19.861Z;{'00000': 327, '00001': 178, '00010': 277, '00011': 181, '00100': 21, '00101': 14, '00110': 15, '00111': 11}
ibmqx4;2018-07-05T22:02:19.981Z;{'00000': 95, '00001': 100, '00010': 167, '00011': 163, '00100': 116, '00101': 154, '00110': 143, '00111': 86}
ibmqx4;2018-07-05T22:02:20.055Z;{'00000': 239, '00001': 266, '00010': 219, '00011': 246, '00100': 17, '00101': 11, '00110': 11, '00111': 15}
ibmqx4;2018-07-05T22:02:20.146Z;{'00000': 60, '00001': 183, '00010': 91, '00011': 209, '00100': 79, '00101': 162, '00110': 111, '00111': 129}
ibmqx4;2018-07-05T22:02:20.216Z;{'00000': 170, '00001': 336, '00010': 155, '00011': 321, '00100': 6, '00101': 11, '00110': 6, '00111': 19}
ibmqx4;2018-07-05T22:02:20.316Z;{'00000': 45, '00001': 183, '00010': 72, '00011': 228, '00100': 57, '00101': 229, '00110': 64, '00111': 146}
ibmqx4;2018-07-05T22:02:20.394Z;{'00000': 123, '00001': 374, '00010': 104, '00011': 369, '00100': 7, '00101': 17, '00110': 6, '00111': 24}
ibmqx4;2018-07-05T22:02:20.491Z;{'00000': 29, '00001': 184, '00010': 48, '00011': 273, '00100': 46, '00101': 246, '00110': 39, '00111': 159}
ibmqx4;2018-07-05T22:02:20.611Z;{'00000': 75, '00001': 399, '00010': 60, '00011': 433, '00100': 3, '00101': 20, '00110': 10, '00111': 24}
ibmqx4;2018-07-05T22:02:20.686Z;{'00000': 28, '00001': 180, '00010': 57, '00011': 285, '00100': 44, '00101': 213, '00110': 48, '00111': 169}
ibmqx4;2018-07-05T22:02:20.767Z;{'00000': 68, '00001': 420, '00010': 65, '00011': 426, '00100': 3, '00101': 25, '00110': 2, '00111': 15}
ibmqx4;2018-07-05T22:00:40.293Z;{'00000': 292, '00001': 14, '00010': 342, '00011': 19, '00100': 215, '00101': 8, '00110': 126, '00111': 8}
ibmqx4;2018-07-05T22:00:40.390Z;{'00000': 505, '00001': 17, '00010': 441, '00011': 16, '00100': 19, '00101': 1, '00110': 23, '00111': 2}
ibmqx4;2018-07-05T22:00:40.461Z;{'00000': 277, '00001': 20, '00010': 350, '00011': 35, '00100': 203, '00101': 14, '00110': 114, '00111': 11}
ibmqx4;2018-07-05T22:00:40.561Z;{'00000': 507, '00001': 31, '00010': 411, '00011': 30, '00100': 20, '00101': 2, '00110': 21, '00111': 2}
ibmqx4;2018-07-05T22:00:40.682Z;{'00000': 280, '00001': 32, '00010': 287, '00011': 71, '00100': 197, '00101': 21, '00110': 119, '00111': 17}
ibmqx4;2018-07-05T22:00:40.742Z;{'00000': 467, '00001': 57, '00010': 384, '00011': 73, '00100': 17, '00101': 1, '00110': 20, '00111': 5}
ibmqx4;2018-07-05T22:00:40.865Z;{'00000': 239, '00001': 62, '00010': 240, '00011': 119, '00100': 194, '00101': 46, '00110': 94, '00111': 30}
ibmqx4;2018-07-05T22:00:40.917Z;{'00000': 382, '00001': 118, '00010': 350, '00011': 122, '00100': 21, '00101': 7, '00110': 18, '00111': 6}
ibmqx4;2018-07-05T22:00:41.017Z;{'00000': 207, '00001': 96, '00010': 215, '00011': 182, '00100': 139, '00101': 74, '00110': 71, '00111': 40}
ibmqx4;2018-07-05T22:00:41.115Z;{'00000': 335, '00001': 176, '00010': 289, '00011': 172, '00100': 19, '00101': 15, '00110': 10, '00111': 8}
ibmqx4;2018-07-05T22:00:41.193Z;{'00000': 141, '00001': 123, '00010': 170, '00011': 249, '00100': 120, '00101': 88, '00110': 63, '00111': 70}
ibmqx4;2018-07-05T22:00:41.280Z;{'00000': 248, '00001': 267, '00010': 192, '00011': 253, '00100': 16, '00101': 16, '00110': 13, '00111': 19}
ibmqx4;2018-07-05T22:00:41.372Z;{'00000': 93, '00001': 134, '00010': 129, '00011': 338, '00100': 84, '00101': 129, '00110': 35, '00111': 82}
ibmqx4;2018-07-05T22:00:41.496Z;{'00000': 174, '00001': 348, '00010': 165, '00011': 297, '00100': 9, '00101': 12, '00110': 10, '00111': 9}
ibmqx4;2018-07-05T22:00:41.554Z;{'00000': 66, '00001': 180, '00010': 73, '00011': 390, '00100': 52, '00101': 141, '00110': 28, '00111': 94}
ibmqx4;2018-07-05T22:00:41.643Z;{'00000': 108, '00001': 409, '00010': 122, '00011': 349, '00100': 6, '00101': 15, '00110': 7, '00111': 8}
